                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1726,                 5.2399,                 4.1077,                 2.9092,                 9.1342,                 4.1643,                 0.0012,                0.16206,                 0.0012,                0.00027,                 3.0008,                 5.5608,                 3.9101,                 2.7171,                  13.59,                 3.9935,             7.2132e-05,             7.2132e-05,             7.2132e-05
                      2,                 2.4836,                 4.4793,                 3.1558,                  2.092,                 6.8708,                 3.0997,                0.34733,                0.00596,                0.01191,                0.00609,                 2.2954,                 4.7254,                 3.1862,                 1.9452,                 8.8439,                 3.0293,              0.0001397,              0.0001397,              0.0001397
                      3,                 1.8332,                 3.5338,                 2.3872,                 1.5093,                 4.8762,                 2.1977,                0.18974,                0.03087,                0.02305,                0.01231,                 2.0587,                 3.7434,                 2.7495,                 1.8296,                 5.9102,                 2.6163,             0.00020249,             0.00020249,             0.00020249
                      4,                 1.5586,                 3.0585,                 2.0982,                 1.3457,                 3.8694,                 1.9408,                0.44773,                0.07245,                 0.0503,                0.02574,                 1.8565,                 3.0724,                 2.5533,                 1.6975,                 4.2544,                    2.5,             0.00019552,             0.00019552,             0.00019552
                      5,                 1.4338,                 2.7843,                 1.9671,                 1.2765,                 3.3729,                 1.8262,                0.63922,                0.08292,                0.06393,                0.03697,                 1.7123,                 2.7254,                 2.3956,                 1.6203,                  3.562,                 2.3375,             0.00019552,             0.00019552,             0.00019552
                      6,                 1.3668,                 2.6243,                 1.8947,                 1.2424,                  3.111,                  1.773,                0.45309,                0.09273,                0.07507,                0.04208,                 1.6256,                 2.5855,                 2.3092,                 1.5232,                 3.2171,                 2.2745,             0.00018836,             0.00018836,             0.00018836
                      7,                 1.3209,                 2.5118,                 1.8549,                 1.2155,                 2.9351,                 1.7399,                0.56664,                0.08823,                0.07666,                0.04255,                 1.6755,                  2.496,                 2.2734,                 1.6083,                 3.0075,                 2.2446,              0.0001812,              0.0001812,              0.0001812
                      8,                 1.2843,                 2.4241,                 1.8235,                 1.1958,                 2.8127,                 1.7149,                0.62463,                0.09432,                0.08554,                0.04966,                 1.6569,                 2.3924,                 2.2863,                 1.6121,                  2.883,                 2.2431,             0.00017403,             0.00017403,             0.00017403
                      9,                 1.2604,                 2.3415,                 1.7972,                 1.1825,                 2.6972,                 1.6963,                0.62342,                0.11377,                0.10935,                0.06819,                 1.5705,                 2.2151,                 2.2013,                 1.5492,                 2.6094,                 2.2031,             0.00016687,             0.00016687,             0.00016687
                     10,                  1.253,                 2.2969,                 1.7901,                 1.1847,                 2.6498,                 1.6925,                0.61673,                0.12262,                0.11553,                0.07149,                  1.497,                 2.1886,                 2.1511,                 1.4876,                 2.5463,                   2.14,             0.00015971,             0.00015971,             0.00015971
                     11,                 1.2136,                 2.2398,                 1.7522,                 1.1553,                 2.5681,                 1.6605,                0.70733,                0.12598,                 0.1585,                0.08485,                 1.5225,                 2.0892,                 2.1822,                 1.5025,                 2.4331,                 2.1799,             0.00015255,             0.00015255,             0.00015255
                     12,                 1.2089,                 2.1994,                  1.749,                 1.1595,                 2.5291,                 1.6665,                0.56576,                 0.1237,                0.12512,                0.07666,                 1.5237,                 2.0712,                  2.146,                 1.5298,                 2.3628,                 2.1469,             0.00014539,             0.00014539,             0.00014539
                     13,                 1.1897,                 2.1441,                 1.7272,                 1.1458,                  2.459,                  1.649,                0.59979,                0.12613,                0.13398,                0.08595,                 1.4711,                 2.0298,                 2.0759,                 1.4635,                 2.3124,                 2.0836,             0.00013823,             0.00013823,             0.00013823
                     14,                 1.1709,                 2.1093,                 1.7115,                 1.1348,                 2.4179,                 1.6338,                0.68367,                0.13803,                0.13836,                0.09192,                 1.4784,                 1.9899,                 2.0909,                 1.4541,                 2.2561,                 2.0691,             0.00013107,             0.00013107,             0.00013107
                     15,                  1.158,                 2.0836,                 1.7023,                 1.1255,                 2.3783,                 1.6305,                0.66818,                0.14025,                0.14108,                0.09163,                 1.4556,                 1.9253,                 2.0607,                 1.4597,                 2.1892,                 2.0774,             0.00012391,             0.00012391,             0.00012391
                     16,                 1.1534,                 2.0482,                 1.6955,                 1.1224,                 2.3405,                 1.6228,                0.71164,                0.12715,                0.15377,                0.10206,                 1.4299,                 1.8789,                 2.0315,                 1.4326,                 2.1376,                 2.0408,             0.00011675,             0.00011675,             0.00011675
                     17,                 1.1421,                 2.0345,                 1.6818,                 1.1128,                 2.3215,                 1.6085,                0.65019,                0.14273,                0.14907,                 0.0943,                 1.4454,                 1.9158,                 2.0644,                 1.4775,                 2.1834,                 2.0987,             0.00010959,             0.00010959,             0.00010959
                     18,                 1.1324,                 1.9881,                 1.6769,                 1.1101,                 2.2734,                 1.6087,                0.67646,                0.14379,                0.15924,                 0.1068,                  1.429,                 1.8403,                 2.0282,                 1.4241,                 2.1029,                 2.0204,             0.00010242,             0.00010242,             0.00010242
                     19,                 1.1336,                 1.9769,                 1.6699,                   1.11,                 2.2568,                 1.5995,                 0.6743,                0.13887,                0.15332,                0.09925,                 1.4252,                  1.845,                 2.0316,                 1.4382,                 2.1072,                 2.0332,             9.5263e-05,             9.5263e-05,             9.5263e-05
                     20,                 1.1253,                 1.9434,                 1.6666,                 1.1037,                 2.2228,                 1.6015,                0.66078,                0.15392,                0.15947,                0.10288,                 1.4236,                 1.8268,                 2.0338,                 1.4524,                 2.0697,                 2.0623,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     21,                 1.1342,                 1.8403,                 1.7964,                 1.1302,                 2.0918,                 1.7571,                0.63388,                0.17693,                0.18515,                 0.1267,                 1.3569,                 1.7543,                  1.959,                 1.3865,                 1.9672,                 1.9681,             8.0941e-05,             8.0941e-05,             8.0941e-05
                     22,                 1.1048,                 1.7491,                 1.7647,                 1.1112,                 1.9834,                 1.7315,                 0.6437,                 0.1861,                0.18657,                0.12627,                 1.3496,                 1.7337,                 1.9438,                 1.3961,                 1.9795,                 1.9749,              7.378e-05,              7.378e-05,              7.378e-05
                     23,                 1.0873,                 1.7107,                 1.7495,                 1.0939,                 1.9575,                 1.7144,                0.58935,                0.20055,                0.21309,                0.14907,                 1.3463,                 1.6987,                 1.9343,                 1.3782,                 1.9145,                 1.9418,             6.6619e-05,             6.6619e-05,             6.6619e-05
                     24,                 1.0768,                 1.6698,                 1.7355,                 1.0852,                 1.9051,                 1.7012,                0.63668,                0.17871,                0.20049,                 0.1371,                 1.3299,                 1.6808,                 1.9177,                 1.3781,                  1.867,                  1.946,             5.9458e-05,             5.9458e-05,             5.9458e-05
                     25,                 1.0723,                 1.6421,                 1.7276,                 1.0809,                 1.8868,                 1.6919,                0.74084,                0.19254,                0.20241,                0.13901,                 1.3265,                  1.666,                 1.9183,                 1.3642,                 1.8833,                 1.9362,             5.2297e-05,             5.2297e-05,             5.2297e-05
                     26,                 1.0537,                 1.6114,                 1.7186,                 1.0651,                 1.8472,                 1.6879,                0.63537,                0.20852,                0.22565,                0.16003,                  1.336,                 1.6289,                 1.9115,                 1.3846,                 1.8351,                 1.9406,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     27,                 1.0545,                 1.5995,                 1.7103,                 1.0633,                 1.8396,                  1.677,                0.62902,                0.20577,                0.19717,                0.13554,                 1.3166,                 1.6327,                 1.8948,                 1.3586,                 1.8717,                 1.9228,             3.7975e-05,             3.7975e-05,             3.7975e-05
                     28,                 1.0445,                 1.5755,                 1.7027,                 1.0567,                  1.815,                 1.6719,                0.58316,                0.21512,                0.20965,                0.14351,                 1.3192,                 1.6123,                 1.9002,                 1.3611,                 1.8334,                 1.9146,             3.0814e-05,             3.0814e-05,             3.0814e-05
                     29,                 1.0349,                 1.5589,                 1.6931,                 1.0454,                 1.7907,                 1.6626,                0.59621,                0.21346,                 0.1982,                0.13708,                  1.314,                 1.6022,                  1.892,                 1.3531,                  1.822,                   1.91,             2.3653e-05,             2.3653e-05,             2.3653e-05
                     30,                 1.0342,                 1.5421,                 1.6937,                 1.0469,                 1.7773,                 1.6632,                0.71862,                0.19489,                0.21674,                0.15351,                 1.3081,                 1.5982,                 1.8815,                 1.3384,                 1.8236,                 1.8916,             1.6492e-05,             1.6492e-05,             1.6492e-05
